Категория	Слово	Процент от корпуса категории
Акватическая метафорика	davy	9.1
Акватическая метафорика	jones	9.1
Акватическая метафорика	dead	9.1
Акватическая метафорика	hook	9.1
Акватическая метафорика	slip	9.1
Аксиологически позитивная репрезентация	die	7.4
Аксиологически позитивная репрезентация	death	7.4
Аксиологически позитивная репрезентация	call	3.7
Аксиологически позитивная репрезентация	man	3.7
Аксиологически позитивная репрезентация	happy	3.7
Античное наследие (Греция и Рим)	god	6.2
Античное наследие (Греция и Рим)	love	6.2
Античное наследие (Греция и Рим)	die	6.2
Античное наследие (Греция и Рим)	young	6.2
Античное наследие (Греция и Рим)	death	6.2
Дидактика	die	13.0
Дидактика	death	8.7
Дидактика	coward	4.3
Дидактика	often	4.3
Дидактика	lead	4.3
Криомортальная семантика	winter	16.7
Криомортальная семантика	dead	16.7
Криомортальная семантика	green	8.3
Криомортальная семантика	christmas	8.3
Криомортальная семантика	yule	8.3
Народно-поэтическая репрезентация	dead	6.7
Народно-поэтическая репрезентация	death	5.0
Народно-поэтическая репрезентация	one	3.3
Народно-поэтическая репрезентация	slip	2.5
Народно-поэтическая репрезентация	davy	1.7
Персонификация смерти	death	16.7
Персонификация смерти	davy	11.1
Персонификация смерти	jones	11.1
Персонификация смерти	keep	5.6
Персонификация смерти	bone	5.6
Пространственно-переходная модель	death	17.3
Пространственно-переходная модель	door	9.6
Пространственно-переходная модель	dead	9.6
Пространственно-переходная модель	go	7.7
Пространственно-переходная модель	life	5.8
Религиозная репрезентация	dead	7.6
Религиозная репрезентация	shall	4.5
Религиозная репрезентация	grave	3.0
Религиозная репрезентация	god	3.0
Религиозная репрезентация	sword	3.0
Семантика насильственного взаимодействия	death	7.1
Семантика насильственного взаимодействия	die	5.5
Семантика насильственного взаимодействия	one	4.7
Семантика насильственного взаимодействия	sword	3.1
Семантика насильственного взаимодействия	hang	2.4
Соматическая репрезентация	one	15.1
Соматическая репрезентация	grave	7.5
Соматическая репрезентация	last	5.7
Соматическая репрезентация	death	5.7
Соматическая репрезентация	foot	5.7
Социально-этическая семантика	die	8.0
Социально-этическая семантика	death	8.0
Социально-этическая семантика	dead	5.0
Социально-этическая семантика	ditch	4.0
Социально-этическая семантика	grave	4.0
Телесная деструкция	death	7.1
Телесная деструкция	men	7.1
Телесная деструкция	bone	7.1
Телесная деструкция	davy	7.1
Телесная деструкция	jones	7.1
Темпоральная репрезентация	hour	9.5
Темпоральная репрезентация	dead	9.5
Темпоральная репрезентация	go	9.5
Темпоральная репрезентация	look	4.8
Темпоральная репрезентация	thy	4.8
Фаталистическая репрезентация	death	9.8
Фаталистическая репрезентация	life	2.5
Фаталистическая репрезентация	last	2.5
Фаталистическая репрезентация	dead	2.5
Фаталистическая репрезентация	one	2.5
Хтоническая репрезентация	grave	20.0
Хтоническая репрезентация	one	10.9
Хтоническая репрезентация	dead	7.3
Хтоническая репрезентация	foot	5.5
Хтоническая репрезентация	dig	3.6
