Фразеологизм,Дефиниция,Источники,Категория,Подкатегория,,Все категории:,,
"Art is long, life is short.",,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json",Фаталистическая репрезентация,,1,Религиозная репрезентация,доп. - библейское (подкат.),
Cowards die often (or many times) before their death.,,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json",Дидактика,,2,Соматическая репрезентация,Телесное,
Dead men tell no tales.,,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json",Семантика насильственного взаимодействия,,3,Пространственно-переходная модель,Переход,
Death is the grand leveller. / death is the grand leveller,"посл., «смерть — великая уравнительница», все равны перед лицом смерти.","A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json",Фаталистическая репрезентация,,4,Семантика насильственного взаимодействия,"Насилие, опасность, угроза",
Many deaths have place in men before they come to die.,,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json",Телесная деструкция; Дидактика,,5,Аксиологически позитивная репрезентация,"тут сон, покой, долгожданное, утешительное и более позитивное (насколько смерть мб позитивной)",
"Golden lads and girls all must, as chimney-sweepers, come to dust.",,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json",Фаталистическая репрезентация,,6,Темпоральная репрезентация,"Час, день...",
Memento mori.,Something which recalls death. | Something that reminds people of death.,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json",Фаталистическая репрезентация,,7,Фаталистическая репрезентация,"Фатальность, неизбежность",
De mortuis nil nisi bonum.,,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json",Телесная деструкция; Соматическая репрезентация,,8,Персонификация смерти,,
The paths of glory lead but to the grave.,,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json",Хтоническая репрезентация; Дидактика,,9,Криомортальная семантика,Холод,
Whom the gods love die young. / whom the gods love die young,,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json","Фаталистическая репрезентация;
Античное наследие (Греция и Рим)",,10,Акватическая метафорика,"Вода, море",
Call no man happy until he is dead (or dies).,,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json",Аксиологически позитивная репрезентация,,11,Народно-поэтическая репрезентация,Жаргон и фольклор,"Фольклорно-традиционная репрезентация смерти охватывает архаические верования, народно-фольклорные образы и жаргонно-просторечные выражения, восходящие к коллективной культурной традиции."
