Категория	Слово	Процент от корпуса категории
Акватическая метафорика	берег	8.1
Акватическая метафорика	вода	8.1
Акватическая метафорика	море	5.4
Акватическая метафорика	смерть	5.4
Акватическая метафорика	солдат	2.7
Аксиологически позитивная репрезентация	лечь	5.8
Аксиологически позитивная репрезентация	сон	3.5
Аксиологически позитивная репрезентация	умереть	2.9
Аксиологически позитивная репрезентация	вечный	2.9
Аксиологически позитивная репрезентация	уйти	2.9
Античное наследие (Греция и Рим)	уйти	9.5
Античное наследие (Греция и Рим)	елисейский	9.5
Античное наследие (Греция и Рим)	поле	9.5
Античное наследие (Греция и Рим)	кипарис	9.5
Античное наследие (Греция и Рим)	тартарары	4.8
Дидактика	смерть	17.7
Дидактика	жить	5.1
Дидактика	умирать	5.1
Дидактика	уметь	3.8
Дидактика	хотеть	2.5
Криомортальная семантика	карачун	20.0
Криомортальная семантика	прийти	13.3
Криомортальная семантика	околеть	6.7
Криомортальная семантика	насмерть	6.7
Криомортальная семантика	дать	6.7
Народно-поэтическая репрезентация	смерть	7.2
Народно-поэтическая репрезентация	умирать	2.5
Народно-поэтическая репрезентация	умереть	2.3
Народно-поэтическая репрезентация	жить	2.3
Народно-поэтическая репрезентация	отбросить	1.9
Персонификация смерти	смерть	22.8
Персонификация смерти	живот	2.4
Персонификация смерти	найти	2.4
Персонификация смерти	взять	2.4
Персонификация смерти	прийти	1.6
Пространственно-переходная модель	уйти	6.0
Пространственно-переходная модель	пойти	5.4
Пространственно-переходная модель	свет	4.9
Пространственно-переходная модель	идти	3.3
Пространственно-переходная модель	дверь	2.5
Религиозная репрезентация	смерть	7.4
Религиозная репрезентация	бог	6.4
Религиозная репрезентация	душа	3.9
Религиозная репрезентация	дать	2.0
Религиозная репрезентация	крест	2.0
Семантика насильственного взаимодействия	смерть	3.6
Семантика насильственного взаимодействия	свой	3.2
Семантика насильственного взаимодействия	свет	2.8
Семантика насильственного взаимодействия	кровь	2.4
Семантика насильственного взаимодействия	умереть	2.0
Соматическая репрезентация	смерть	5.9
Соматическая репрезентация	нога	5.0
Соматическая репрезентация	глаз	3.8
Соматическая репрезентация	голова	3.5
Соматическая репрезентация	кровь	2.1
Социально-этическая семантика	смерть	9.6
Социально-этическая семантика	умереть	5.0
Социально-этическая семантика	умирать	4.2
Социально-этическая семантика	хороший	4.2
Социально-этическая семантика	жить	4.2
Телесная деструкция	кость	16.0
Телесная деструкция	прах	8.0
Телесная деструкция	лечь	4.0
Телесная деструкция	место	4.0
Телесная деструкция	смерть	2.7
Темпоральная репрезентация	век	8.1
Темпоральная репрезентация	умереть	5.4
Темпоральная репрезентация	последний	5.4
Темпоральная репрезентация	жить	4.0
Темпоральная репрезентация	смерть	2.7
Фаталистическая репрезентация	смерть	12.3
Фаталистическая репрезентация	умереть	3.4
Фаталистическая репрезентация	жить	2.8
Фаталистическая репрезентация	умирать	2.3
Фаталистическая репрезентация	век	1.7
Хтоническая репрезентация	могила	7.9
Хтоническая репрезентация	земля	7.9
Хтоническая репрезентация	гроб	7.2
Хтоническая репрезентация	нога	3.0
Хтоническая репрезентация	дверь	3.0
