Категория	Слово	Процент от корпуса категории
Аксиологически позитивная репрезентация	отићи	6.5
Аксиологически позитивная репрезентация	вечни	3.2
Аксиологически позитивная репрезентация	преселити	3.2
Аксиологически позитивная репрезентация	мир	3.2
Аксиологически позитивная репрезентация	смртној	1.6
Античное наследие (Греция и Рим)	лабуђа	16.7
Античное наследие (Греция и Рим)	лабудова	16.7
Античное наследие (Греция и Рим)	пјесма	16.7
Античное наследие (Греция и Рим)	пјев	16.7
Античное наследие (Греция и Рим)	мртвима	16.7
Дидактика	пасји	13.6
Дидактика	доћи	9.1
Дидактика	ђаво	9.1
Дидактика	пас	9.1
Дидактика	плести	4.5
Криомортальная семантика	смрт	12.0
Криомортальная семантика	ледину	12.0
Криомортальная семантика	охладио	8.0
Криомортальная семантика	хладан	8.0
Криомортальная семантика	забости	8.0
Народно-поэтическая репрезентация	смрти	3.4
Народно-поэтическая репрезентация	дан	2.9
Народно-поэтическая репрезентация	смрт	2.3
Народно-поэтическая репрезентация	умрети	1.7
Народно-поэтическая репрезентация	гаси	1.7
Персонификация смерти	смрти	16.7
Персонификация смерти	смртна	8.3
Персонификация смерти	дошла	8.3
Персонификация смерти	лебди	8.3
Персонификация смерти	смрт	8.3
Пространственно-переходная модель	отићи	7.0
Пространственно-переходная модель	свет	3.9
Пространственно-переходная модель	светом	3.1
Пространственно-переходная модель	гроба	2.3
Пространственно-переходная модель	преселити	2.3
Религиозная репрезентация	душу	4.4
Религиозная репрезентация	богу	4.4
Религиозная репрезентация	душа	4.4
Религиозная репрезентация	смртна	2.2
Религиозная репрезентация	предати	2.2
Семантика насильственного взаимодействия	живот	2.9
Семантика насильственного взаимодействия	главу	2.9
Семантика насильственного взаимодействия	гроб	1.6
Семантика насильственного взаимодействия	конопац	1.6
Семантика насильственного взаимодействия	смрти	1.2
Соматическая репрезентация	главу	3.9
Соматическая репрезентация	стајати	1.9
Соматическая репрезентация	отегнути	1.9
Соматическая репрезентация	душа	1.9
Соматическая репрезентация	глава	1.4
Социально-этическая семантика	смрт	5.6
Социально-этическая семантика	умрети	4.0
Социально-этическая семантика	живот	3.2
Социально-этическая семантика	смрти	2.4
Социально-этическая семантика	главу	2.4
Телесная деструкция	кости	13.3
Телесная деструкция	еду	6.7
Телесная деструкция	га	6.7
Телесная деструкция	их	6.7
Телесная деструкция	црви	6.7
Темпоральная репрезентация	дан	5.2
Темпоральная репрезентация	гробу	2.1
Темпоральная репрезентация	зазвони	2.1
Темпоральная репрезентация	главом	2.1
Темпоральная репрезентация	куца	2.1
Фаталистическая репрезентация	смрти	4.1
Фаталистическая репрезентация	смрт	3.0
Фаталистическая репрезентация	једном	1.5
Фаталистическая репрезентация	мртав	1.5
Фаталистическая репрезентация	задња	1.5
Хтоническая репрезентация	гроб	9.7
Хтоническая репрезентация	гробу	4.3
Хтоническая репрезентация	гроба	3.2
Хтоническая репрезентация	земља	3.2
Хтоническая репрезентация	стајати	2.2
